STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1935,1935,240,Total Reformatory and Industrial Schools,£,116668
CEPHA18C01,Government Expenditure on Education,1935,1935,250,Total Education Expenditure,£,4675302
CEPHA18C01,Government Expenditure on Education,1935,1935,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1935,1935,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1935,1935,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1935,1935,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,100,Administration,£,157061
CEPHA18C01,Government Expenditure on Education,1936,1936,110,Teacher Training - Primary Education,£,99974
CEPHA18C01,Government Expenditure on Education,1936,1936,120,Teacher Salary - Primary Education,£,3146078
CEPHA18C01,Government Expenditure on Education,1936,1936,130,Teacher Pension - Primary Education,£,368910
CEPHA18C01,Government Expenditure on Education,1936,1936,135,Teacher Pension (Grants in Aid) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,140,Miscellaneous - Primary Education,£,46329
CEPHA18C01,Government Expenditure on Education,1936,1936,150,Appropriations in Aid (deduct) - Primary Education,£,87074
CEPHA18C01,Government Expenditure on Education,1936,1936,160,Total Primary Education,£,3574217
CEPHA18C01,Government Expenditure on Education,1936,1936,170,Total Secondary Education,£,427022
CEPHA18C01,Government Expenditure on Education,1936,1936,180,State funds - Technical (Vocational),£,252817
CEPHA18C01,Government Expenditure on Education,1936,1936,190,Local rates - Technical (Vocational),£,147929
CEPHA18C01,Government Expenditure on Education,1936,1936,200,Total Technical (Vocational),£,400746
CEPHA18C01,Government Expenditure on Education,1936,1936,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,230,Total Science and Art,£,42791
CEPHA18C01,Government Expenditure on Education,1936,1936,240,Total Reformatory and Industrial Schools,£,113903
CEPHA18C01,Government Expenditure on Education,1936,1936,250,Total Education Expenditure,£,4715740
CEPHA18C01,Government Expenditure on Education,1936,1936,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1936,1936,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1936,1936,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,320,Other Government Departments,£,
